x1,x2,y
-1.07485,-0.351332,0
3.10297,0.0830255,1
-3.05476,-2.15409,0
0.199084,0.0978871,1
4.20775,3.72563,1
5.90963,2.44438,1
2.84268,2.71898,1
-0.729568,3.06901,1
-4.54517,-1.83853,0
6.29532,1.58977,1
3.61212,2.83837,1
2.38828,-0.50679,1
-3.35898,0.639042,0
-3.64414,-2.8176,0
2.8936,0.768563,1
1.66526,-0.01165,1
-0.753734,-5.62537,0
-2.13648,-1.12399,0
-2.11967,-1.86691,0
-1.41857,-3.76822,0
3.72982,-1.17321,1
-2.32797,-1.28603,0
-0.9384,4.36554,1
-3.76435,-1.70952,0
-0.888578,-4.08768,0
2.68635,2.04555,1
-0.295754,2.80401,1
-5.95381,-0.612419,0
0.465636,3.92909,1
-3.20122,-1.3498,0
0.518146,1.30797,1
-4.26891,-4.1448,0
-3.55988,-1.60948,0
-1.68917,-2.26412,0
-0.943761,-0.495749,0
1.79875,1.37679,1
0.477273,2.75963,1
-1.10843,-0.45389,0
0.437751,-3.79884,0
1.96386,0.825345,1
-1.13977,0.822489,0
-3.52157,-1.53033,0
-2.98289,-0.420926,0
-5.16424,0.39844,0
-1.60359,-1.76969,0
1.73145,1.96631,1
-2.55712,-1.00838,0
-1.95472,0.0709052,0
0.699231,2.43582,1
1.12574,4.57464,1
-0.843188,-3.55481,0
2.8897,0.704331,1
2.34582,3.65256,1
2.53807,3.11993,1
-0.103748,0.940304,0
2.94729,2.65961,1
-2.98469,-1.84091,0
-4.53594,-1.37907,0
3.66878,0.850389,1
0.494043,2.61686,1
3.39533,1.75013,1
-3.78765,-0.825791,0
3.07851,-1.28617,1
-4.28993,-2.35863,0
0.223974,0.626416,1
-1.1368,1.57921,1
-2.28199,-1.60328,0
1.98178,1.82627,1
0.103098,-3.08147,0
-2.48819,-2.33915,0
-4.90706,-3.8823,0
-5.15629,-1.96615,0
-0.705132,0.507806,0
2.30213,1.19922,1
-1.49837,-3.17615,0
2.51413,3.42117,1
2.78692,2.10625,1
-0.921862,-2.29465,0
2.52085,1.09464,1
-1.4125,-3.51033,0
3.42697,1.34873,1
3.90669,2.23639,1
-4.36344,-3.10322,0
-2.62571,-3.45432,0
1.85503,1.64428,1
1.58722,4.25712,1
0.841099,1.8171,1
-0.511111,1.90538,1
3.96897,3.70108,1
-3.41044,-0.700511,0
3.60163,4.40271,1
-3.04813,-1.16347,0
2.55105,0.977921,1
-2.40859,-2.73261,0
3.75044,4.85368,1
1.53512,0.735832,1
3.54292,3.43488,1
3.5734,1.43898,1
-2.14595,-1.98382,0
-0.0335211,3.51273,1
0.997186,0.69623,1
-0.596161,-3.4957,0
2.7172,2.98134,1
0.569891,1.50755,1
0.111137,0.286125,0
2.90845,3.28085,1
2.19853,0.829129,1
1.02586,-2.25101,0
-0.0691875,0.510862,1
1.03317,1.17636,1
1.67459,0.565068,1
2.60005,3.88378,1
-0.0168001,-0.0452513,1
-2.16374,-0.574279,0
-1.55813,-1.16549,0
2.77955,2.88761,1
-1.29114,-1.27163,0
-4.30083,-2.75987,0
0.0870446,0.498245,0
2.32256,3.05682,1
2.96938,0.970248,1
-2.01694,-0.801171,0
0.978336,-0.428394,1
-1.99344,-0.773215,0
3.08562,3.31791,1
-2.67525,0.0699008,0
-0.747569,-4.2438,0
2.93842,3.0811,1
-2.67595,-3.52579,0
1.84631,3.17527,1
3.43087,3.52885,1
1.45784,1.67641,1
2.87502,1.58298,1
-1.65151,-3.28278,0
2.85892,1.50838,1
0.0593378,-1.36741,0
2.40463,1.84531,1
5.41404,2.71935,1
-1.90244,-1.458,0
-1.35019,-3.49626,0
-1.40067,-3.39038,0
-2.8949,-1.7686,0
-2.50986,-2.15391,0
0.547178,0.181958,1
1.85779,3.97823,1
3.5966,0.51147,1
1.24587,2.11243,1
-1.37896,-1.64522,0
3.14347,0.700572,1
-0.492945,-0.63425,1
-3.42595,-3.28394,0
-0.0695013,1.19939,1
-2.11738,-0.941712,0
-1.38752,-2.67016,0
2.57115,2.4504,1
1.74219,2.61765,1
0.109194,1.41839,1
0.19366,-0.737458,0
-1.42118,-5.48846,0
1.58645,3.6139,1
0.613236,0.912106,1
0.72201,-1.83085,0
2.1733,5.04591,1
3.86302,1.12088,1
0.414215,2.01462,1
-1.02717,-1.79378,0
-0.326942,-3.09133,0
-2.08796,-0.431576,0
2.48946,2.94347,1
0.712845,-0.623662,0
-4.11436,-1.90868,0
2.33873,1.4966,1
-4.60415,-1.30364,0
-4.00763,-3.43982,0
-4.08297,-1.76389,0
-0.290822,-3.28528,0
0.97691,4.52363,1
1.74769,-0.111003,1
0.973291,3.94004,1
0.312768,-2.14217,0
-0.941034,1.78004,0
2.44046,3.56723,1
3.17048,3.06926,1
-0.667322,-3.36294,0
2.00494,3.16891,1
-1.48365,0.0405748,0
-0.865371,-2.23994,0
-0.577674,-3.50314,0
2.24143,0.335746,1
1.1083,-3.47435,0
1.01251,2.78065,1
-3.76465,-1.62629,0
-3.40153,-0.512172,0
-2.18398,-0.039292,0
0.308409,0.950519,1
-2.46389,-1.75902,0
-2.28675,-2.37331,0
-2.26274,-2.76061,0
3.01147,0.493139,1
-0.227286,-0.708764,0
-1.29505,-1.57454,0
-1.25501,-3.00584,0
-0.000620294,3.89568,1
2.63367,3.19977,1
-2.73497,-2.05383,0
2.03103,-1.13774,1
2.38319,2.58947,1
-3.22016,-2.42653,0
-3.3455,-0.286825,0
-2.94559,-2.21059,0
-2.43143,-4.89967,0
0.712913,0.147038,0
-4.11742,-2.67344,0
0.261176,-4.64438,0
-1.20677,-3.62159,0
5.5926,0.0944321,1
0.382797,-1.69827,0
2.83513,0.100168,1
-1.31205,-0.0723369,0
4.02433,1.53521,1
3.89561,3.67207,1
2.36545,0.510123,1
1.14579,3.84527,1
-2.40811,-3.53523,0
0.0786904,-1.86474,1
1.60175,-0.730859,1
-4.09021,-0.806477,0
0.556385,2.53217,1
1.29012,1.29508,1
3.60705,0.603291,1
-1.12212,-6.7948,0
-2.90998,-1.2403,0
1.29935,-2.24493,0
2.37339,2.77977,1
-1.38178,-3.5436,0
5.36198,3.62301,1
-3.32572,0.883783,0
2.88588,2.13708,1
-1.21965,-2.78369,0
0.232108,4.77964,1
3.87586,1.04268,1
2.49962,0.942274,1
-0.0653328,-2.71476,0
3.11593,-1.72914,1
-1.88029,-1.73698,0
-2.85276,-0.859312,0
-2.41825,-0.889448,0
2.14767,4.3354,1
4.4562,1.04407,1
-2.09072,0.317992,0
-2.17468,-2.64933,0
-0.455094,-5.28966,0
-2.90497,-4.08813,0
-0.210378,2.68525,1
4.55366,1.29199,1
-2.54685,-2.8142,0
1.92597,5.10484,1
-1.82596,-1.42907,0
-1.19022,-1.27017,0
0.854287,1.58514,1
-2.95521,-0.4949,0
-1.46462,3.81166,1
3.11528,0.950614,1
-5.36603,-2.98024,0
4.38174,2.31486,1
-1.89145,-1.40669,0
0.44787,-0.198831,1
-4.95948,-1.97596,0
-2.80976,3.14635,0
5.83502,0.649505,1
-2.23674,-0.892768,0
-4.46236,-1.33527,0
-3.35638,-2.03802,0
-4.14488,-0.105907,0
-2.67854,0.605753,0
3.14146,2.52228,1
-0.976105,0.218541,0
0.869878,1.21204,1
-0.0757241,-1.6726,0
4.84004,3.2149,1
0.971215,-0.296919,1
1.28127,5.76727,1
2.24136,-0.00607259,1
-2.52801,-3.8901,0
-0.964928,-1.81494,0
1.65053,2.89051,1
-3.29506,-0.63591,0
3.43414,2.87007,1
1.25216,2.79905,1
1.09316,-2.16362,0
1.61746,1.97552,1
0.530643,0.872029,1
4.28559,3.89954,1
2.91738,2.16254,1
5.09301,2.0758,1
4.21983,-0.214605,1
-4.05502,-4.87094,0
-0.154304,0.2699,1
1.72845,2.84013,1
0.128459,-3.23601,0
-4.41981,-1.35895,0
-2.13817,-2.16426,0
2.87563,1.23767,1
-1.00704,-3.66515,0
-1.83087,-2.51576,0
5.2873,3.23415,1
-1.15635,-2.12818,0
-2.11425,-0.955616,0
1.92243,0.974939,1
0.931881,1.67474,1
-1.54744,-3.36677,0
-0.814756,-1.08341,0
-2.74851,-1.01968,0
-3.87026,-1.69783,0
3.66257,2.48943,1
-2.68293,-2.136,0
1.82368,1.50806,1
3.10483,2.69786,1
-4.43136,-2.92241,0
2.72073,0.742239,1
0.641084,4.34952,1
3.60966,3.51958,1
1.52581,-1.1964,1
-3.25431,-3.5662,0
-2.32257,-1.71243,0
1.84914,2.96831,1
