x1,x2,prob
-5,-5,1.08958e-08
-5,-4.9,1.30881e-08
-5,-4.8,1.57215e-08
-5,-4.7,1.88848e-08
-5,-4.6,2.26846e-08
-5,-4.5,2.72489e-08
-5,-4.4,3.27315e-08
-5,-4.3,3.93173e-08
-5,-4.2,4.72282e-08
-5,-4.1,5.67308e-08
-5,-4,6.81454e-08
-5,-3.9,8.18567e-08
-5,-3.8,9.83268e-08
-5,-3.7,1.18111e-07
-5,-3.6,1.41875e-07
-5,-3.5,1.70422e-07
-5,-3.4,2.04712e-07
-5,-3.3,2.45901e-07
-5,-3.2,2.95378e-07
-5,-3.1,3.54809e-07
-5,-3,4.26199e-07
-5,-2.9,5.11953e-07
-5,-2.8,6.14962e-07
-5,-2.7,7.38696e-07
-5,-2.6,8.87326e-07
-5,-2.5,1.06586e-06
-5,-2.4,1.28032e-06
-5,-2.3,1.53793e-06
-5,-2.2,1.84737e-06
-5,-2.1,2.21907e-06
-5,-2,2.66556e-06
-5,-1.9,3.20188e-06
-5,-1.8,3.84612e-06
-5,-1.7,4.61998e-06
-5,-1.6,5.54955e-06
-5,-1.5,6.66614e-06
-5,-1.4,8.00741e-06
-5,-1.3,9.61853e-06
-5,-1.2,1.15538e-05
-5,-1.1,1.38785e-05
-5,-1,1.66709e-05
-5,-0.9,2.00251e-05
-5,-0.8,2.40542e-05
-5,-0.7,2.88939e-05
-5,-0.6,3.47073e-05
-5,-0.5,4.16904e-05
-5,-0.4,5.00783e-05
-5,-0.3,6.01538e-05
-5,-0.2,7.22563e-05
-5,-0.1,8.67935e-05
-5,-1.02696e-15,0.000104255
-5,0.1,0.000125229
-5,0.2,0.000150422
-5,0.3,0.000180683
-5,0.4,0.000217029
-5,0.5,0.000260686
-5,0.6,0.000313121
-5,0.7,0.000376099
-5,0.8,0.000451739
-5,0.9,0.000542582
-5,1,0.000651682
-5,1.1,0.000782702
-5,1.2,0.000940039
-5,1.3,0.00112897
-5,1.4,0.00135581
-5,1.5,0.00162817
-5,1.6,0.00195513
-5,1.7,0.00234759
-5,1.8,0.0028186
-5,1.9,0.00338381
-5,2,0.00406189
-5,2.1,0.00487518
-5,2.2,0.00585036
-5,2.3,0.00701922
-5,2.4,0.00841965
