x1,x2,prob
-5,-5,4.46842e-08
-5,-4.9,5.23025e-08
-5,-4.8,6.12196e-08
-5,-4.7,7.16571e-08
-5,-4.6,8.38741e-08
-5,-4.5,9.81739e-08
-5,-4.4,1.14912e-07
-5,-4.3,1.34503e-07
-5,-4.2,1.57435e-07
-5,-4.1,1.84277e-07
-5,-4,2.15694e-07
-5,-3.9,2.52469e-07
-5,-3.8,2.95513e-07
-5,-3.7,3.45895e-07
-5,-3.6,4.04868e-07
-5,-3.5,4.73894e-07
-5,-3.4,5.54689e-07
-5,-3.3,6.4926e-07
-5,-3.2,7.59953e-07
-5,-3.1,8.89519e-07
-5,-3,1.04118e-06
-5,-2.9,1.21869e-06
-5,-2.8,1.42646e-06
-5,-2.7,1.66966e-06
-5,-2.6,1.95433e-06
-5,-2.5,2.28753e-06
-5,-2.4,2.67753e-06
-5,-2.3,3.13403e-06
-5,-2.2,3.66835e-06
-5,-2.1,4.29378e-06
-5,-2,5.02583e-06
-5,-1.9,5.88269e-06
-5,-1.8,6.88563e-06
-5,-1.7,8.05957e-06
-5,-1.6,9.43365e-06
-5,-1.5,1.1042e-05
-5,-1.4,1.29245e-05
-5,-1.3,1.5128e-05
-5,-1.2,1.77072e-05
-5,-1.1,2.07261e-05
-5,-1,2.42597e-05
-5,-0.9,2.83956e-05
-5,-0.8,3.32367e-05
-5,-0.7,3.89031e-05
-5,-0.6,4.55354e-05
-5,-0.5,5.32985e-05
-5,-0.4,6.23849e-05
-5,-0.3,7.30202e-05
-5,-0.2,8.54685e-05
-5,-0.1,0.000100039
-5,-1.02696e-15,0.000117093
-5,0.1,0.000137053
-5,0.2,0.000160416
-5,0.3,0.000187761
-5,0.4,0.000219765
-5,0.5,0.000257224
-5,0.6,0.000301065
-5,0.7,0.000352377
-5,0.8,0.000412429
-5,0.9,0.000482712
-5,1,0.000564964
-5,1.1,0.000661222
-5,1.2,0.000773868
-5,1.3,0.000905687
-5,1.4,0.00105994
-5,1.5,0.00124042
-5,1.6,0.0014516
-5,1.7,0.00169866
-5,1.8,0.0019877
-5,1.9,0.0023258
-5,2,0.00272125
-5,2.1,0.00318372
-5,2.2,0.0037245
-5,2.3,0.00435673
-5,2.4,0.00509573
-5,2.5,0.00595934
-5,2.6,0.00696828
-5,2.7,0.00814664
-5,2.8,0.00952235
-5,2.9,0.0111278
-5,3,0.0130003
-5,3.1,0.0151831
-5,3.2,0.0177258
-5,3.3,0.0206854
-5,3.4,0.024127
-5,3.5,0.0281248
-5,3.6,0.0327628
-5,3.7,0.0381356
-5,3.8,0.044349
-5,3.9,0.0515207
-5,4,0.0597794
-5,4.1,0.0692654
